"time","frequency","strength"
0.01,120,0.9
0.02,120,0.9
0.03,120,0.9
0.04,120,0.9
0.05,120,0.9
0.06,120,0.9
0.07,120,0.9
0.08,120,0.9
0.09,120,0.9
0.1,120,0.9
0.11,120,0.9
0.12,120,0.9
0.13,120,0.9
0.14,120,0.9
0.15,120,0.9
0.16,120,0.9
0.17,120,0.9
0.18,120,0.9
0.19,120,0.9
0.2,120,0.9
0.21,120,0.9
0.22,120,0.9
0.23,120,0.9
0.24,120,0.9
0.25,120,0.9
0.26,120,0.9
0.27,120,0.9
0.28,120,0.9
0.29,120,0.9
0.3,NA,NA
0.31,NA,NA
0.32,NA,NA
0.33,NA,NA
0.34,NA,NA
0.35,NA,NA
0.36,NA,NA
0.37,NA,NA
0.38,NA,NA
0.39,NA,NA
0.4,NA,NA
0.41,NA,NA
0.42,NA,NA
0.43,NA,NA
0.44,NA,NA
0.45,NA,NA
0.46,NA,NA
0.47,NA,NA
0.48,NA,NA
0.49,NA,NA
0.5,150,0.9
0.51,150,0.9
0.52,150,0.9
0.53,150,0.9
0.54,150,0.9
0.55,150,0.9
0.56,150,0.9
0.57,150,0.9
0.58,150,0.9
0.59,150,0.9
0.6,150,0.9
0.61,150,0.9
0.62,150,0.9
0.63,150,0.9
0.64,150,0.9
0.65,150,0.9
0.66,150,0.9
0.67,150,0.9
0.68,150,0.9
0.69,150,0.9
0.7,150,0.9
0.71,150,0.9
0.72,150,0.9
0.73,150,0.9
0.74,150,0.9
0.75,150,0.9
0.76,150,0.9
0.77,150,0.9
0.78,150,0.9
0.79,150,0.9
0.8,150,0.9
0.81,150,0.9
0.82,150,0.9
0.83,150,0.9
0.84,150,0.9
0.85,150,0.9
0.86,150,0.9
0.87,150,0.9
0.88,150,0.9
0.89,150,0.9
0.9,150,0.9
0.91,150,0.9
0.92,150,0.9
0.93,150,0.9
0.94,150,0.9
0.95,150,0.9
0.96,150,0.9
0.97,150,0.9
0.98,150,0.9
0.99,150,0.9
